SEASON,GAME.#,DATE,OPPONENT,CONF/NON-CONF,HOME/AWAY,WIN/LOSS,HALF,POSS.#,PLAY.ID,CLUTCH?,GARBAGE?,TRANSITION?,2ND.CHANCE?,MAN.OR.ZONE?,PASSES,ASSIST.OPPORTUNITY,HOCKEY.ASSIST,SHOOTER
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,1,1,FALSE,FALSE,FALSE,FALSE,MAN,2,N/A,N/A,N/A
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,2,2,FALSE,FALSE,FALSE,FALSE,MAN,1,N/A,N/A,N/A
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,2,3,FALSE,FALSE,FALSE,FALSE,MAN,2,N/A,N/A,3 Courtney Ramey
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,3,4,FALSE,FALSE,FALSE,FALSE,MAN,0,N/A,N/A,4 Greg Brown
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,3,5,FALSE,FALSE,FALSE,TRUE,MAN,2,N/A,N/A,3 Courtney Ramey
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,4,6,FALSE,FALSE,FALSE,FALSE,MAN,3,N/A,N/A,N/A
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,5,7,FALSE,FALSE,FALSE,FALSE,MAN,1,2 Matt Coleman III,N/A,4 Greg Brown
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,6,8,FALSE,FALSE,FALSE,FALSE,MAN,1,N/A,N/A,N/A
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,7,9,FALSE,FALSE,FALSE,FALSE,MAN,2,0 Gerald Liddell,N/A,3 Courtney Ramey
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,8,10,FALSE,FALSE,FALSE,FALSE,MAN,4,30 Brock Cunningham,2 Matt Coleman III,0 Gerald Liddell
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,9,11,FALSE,FALSE,TRUE,FALSE,MAN,1,0 Gerald Liddell,N/A,22 Kai Jones
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,10,12,FALSE,FALSE,TRUE,FALSE,MAN,1,N/A,N/A,22 Kai Jones
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,11,13,FALSE,FALSE,FALSE,FALSE,MAN,1,3 Courtney Ramey,N/A,0 Gerald Liddell
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,11,14,FALSE,FALSE,FALSE,TRUE,MAN,0,N/A,N/A,0 Gerald Liddell
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,12,15,FALSE,FALSE,FALSE,FALSE,MAN,6,3 Courtney Ramey,N/A,0 Gerald Liddell
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,13,16,FALSE,FALSE,FALSE,FALSE,MAN,5,2 Matt Coleman III,N/A,4 Greg Brown
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,13,17,FALSE,FALSE,FALSE,TRUE,MAN,1,30 Brock Cunningham,N/A,4 Greg Brown
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,13,18,FALSE,FALSE,FALSE,TRUE,MAN,0,N/A,N/A,4 Greg Brown
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,14,19,FALSE,FALSE,FALSE,FALSE,MAN,1,2 Matt Coleman III,N/A,20 Jericho Sims
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,15,20,FALSE,FALSE,TRUE,FALSE,MAN,1,20 Jericho Sims,N/A,2 Matt Coleman III
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,15,21,FALSE,FALSE,FALSE,TRUE,MAN,1,30 Brock Cunningham,N/A,4 Greg Brown
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,16,22,FALSE,FALSE,FALSE,FALSE,MAN,0,N/A,N/A,5 Royce Hamm Jr.
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,17,23,FALSE,FALSE,FALSE,FALSE,MAN,2,10 Donovan Williams,N/A,2 Matt Coleman III
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,17,24,FALSE,FALSE,FALSE,TRUE,MAN,0,N/A,N/A,4 Greg Brown
2020,1,11/25/2020,UTRGV,Non-Conference,Home,WIN,1,18,25,FALSE,FALSE,FALSE,FALSE,ZONE(2-3),5,3 Courtney Ramey,N/A,10 Donovan Williams
