GAME.#,POSS.#,PLAY.ID,SHOT.CLOCK.THIRD,SHOT.TYPE,CONTESTED?,PAINT.TOUCH,CAUSE.OF.PAINT,PAINT.ATTACKER,DEFENDER-ATTACKER,PLAY.RESULT,POINT.RESULT
1,1,1,:20 - :11,N/A,N/A,TRUE,P&R Roll Man,20 Jericho Sims,Opponent-Big,Offensive Foul,0
1,2,2,:30 - :21,N/A,N/A,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,Floor Foul,0
1,2,3,:20 - :11,Layup,TRUE,TRUE,P&R Ball Handler,3 Courtney Ramey,Opponent-Guard,Shooting Foul,2
1,3,4,:30 - :21,Off-the-dribble (3),TRUE,FALSE,N/A,N/A,N/A,Missed 3,0
1,3,5,:20 - :11,Off-the-dribble (3),TRUE,TRUE,Offensive Rebound,20 Jericho Sims,Opponent-Big,Made 3,3
1,4,6,:20 - :11,N/A,N/A,TRUE,Cut,20 Jericho Sims,Opponent-Guard,Offensive Foul,0
1,5,7,:30 - :21,Off-the-dribble (2),TRUE,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,Missed 2,0
1,6,8,:30 - :21,N/A,N/A,FALSE,N/A,N/A,N/A,Offensive Foul,0
1,7,9,:30 - :21,Off-the-dribble (3),TRUE,TRUE,Perimeter Drive,0 Gerald Liddell,Opponent-Big,Missed 3,0
1,8,10,:20 - :11,Catch-and-shoot,FALSE,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,Assisted 3,3
1,9,11,:30 - :21,Layup,TRUE,TRUE,Perimeter Drive,22 Kai Jones,Opponent-Big,Assisted 2,3
1,10,12,:30 - :21,Dunk,FALSE,TRUE,Perimeter Drive,22 Kai Jones,N/A,Made 2,2
1,11,13,:30 - :21,Layup,TRUE,TRUE,Perimeter Drive,0 Gerald Liddell,Opponent-Big,Missed 2,0
1,11,14,:20 - :11,Layup,TRUE,TRUE,Offensive Rebound,0 Gerald Liddell,Opponent-Big,Made 2,2
1,12,15,:20 - :11,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Missed 3,0
1,13,16,:20 - :11,Catch-and-shoot,TRUE,TRUE,P&R Ball Handler,2 Matt Coleman III,Opponent-Guard,Missed 3,0
1,13,17,:20 - :11,Dunk,TRUE,TRUE,Cut,4 Greg Brown,Opponent-Big,Missed 2,0
1,13,18,:20 - :11,Dunk,FALSE,TRUE,Offensive Rebound,4 Greg Brown,N/A,Made 2,2
1,14,19,:30 - :21,Layup,TRUE,TRUE,Cut,20 Jericho Sims,Opponent-Big,Shooting Foul,2
1,15,20,:30 - :21,Off-the-dribble (3),FALSE,FALSE,N/A,N/A,N/A,Missed 3,0
1,15,21,:20 - :11,Catch-and-shoot,TRUE,TRUE,Offensive Rebound,30 Brock Cunningham,Opponent-Big,Missed 2,0
1,16,22,:20 - :11,Dunk,TRUE,TRUE,Cut,5 Royce Hamm Jr.,Opponent-Big,Shooting Foul,1
1,17,23,:20 - :11,Catch-and-shoot,FALSE,TRUE,P&R Ball Handler,2 Matt Coleman III,Opponent-Big,Missed 3,0
